For N = 10 | Num optimizer steps = 1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::new_empty_strided         0.41%       2.819ms         0.65%       4.452ms       2.319us          1920            --  
                         torch::autograd::CopyBackwards         0.66%       4.555ms         1.35%       9.290ms       4.851us          1915            --  
autograd::engine::evaluate_function: AsStridedBackwa...         0.00%      27.000us         0.02%     151.000us      30.200us             5            --  
                                     AsStridedBackward0         0.01%      57.000us         0.02%     114.000us      22.800us             5            --  
                                          aten::squeeze         0.00%      23.000us         0.00%      26.000us       4.333us             6            --  
                                        aten::new_zeros         0.00%      11.000us         0.00%      21.000us       4.200us             5            --  
                                        aten::new_empty         0.00%       5.000us         0.00%      10.000us       2.000us             5            --  
                                           AddBackward0         0.07%     486.000us         0.07%     486.000us       0.085us          5713            --  
      autograd::engine::evaluate_function: MulBackward0         0.65%       4.495ms         4.54%      31.170ms      16.234us          1920            --  
                                           MulBackward0         0.97%       6.685ms         3.69%      25.318ms      13.186us          1920            --  
      autograd::engine::evaluate_function: PowBackward0         0.01%      49.000us         0.04%     285.000us      28.500us            10            --  
                                           PowBackward0         0.01%      70.000us         0.03%     236.000us      23.600us            10            --  
      autograd::engine::evaluate_function: SubBackward0         0.60%       4.138ms         0.61%       4.168ms       2.175us          1916            --  
                                           SubBackward0         0.00%      25.000us         0.00%      25.000us       0.013us          1916            --  
autograd::engine::evaluate_function: SelectBackward0...         0.00%      23.000us         0.03%     179.000us      14.917us            12            --  
                                        SelectBackward0         0.00%      30.000us         0.02%     147.000us      12.250us            12            --  
                                  aten::select_backward         0.01%      54.000us         0.02%     126.000us      10.500us            12            --  
    autograd::engine::evaluate_function: SliceBackward0         7.96%      54.661ms        41.04%     281.656ms      12.333us         22838            --  
                                         SliceBackward0         6.13%      42.076ms        30.64%     210.297ms       9.208us         22838            --  
                                   aten::slice_backward        12.27%      84.242ms        25.76%     176.795ms       7.741us         22838            --  
      autograd::engine::evaluate_function: AddBackward0         2.52%      17.328ms         2.60%      17.814ms       3.120us          5709            --  
                                       aten::lift_fresh         0.00%       0.000us         0.00%       0.000us       0.000us             2            --  
                                          aten::detach_         0.00%       3.000us         0.00%       4.000us       2.000us             2            --  
                                                detach_         0.00%       1.000us         0.00%       1.000us       0.500us             2            --  
                                           aten::linear         0.01%      43.000us         0.02%     126.000us      63.000us             2            --  
                                                aten::t         0.00%      13.000us         0.00%      20.000us      10.000us             2            --  
                                        aten::transpose         0.00%      23.000us         0.00%      30.000us       5.000us             6            --  
                                           aten::matmul         0.00%      17.000us         0.01%      47.000us      23.500us             2            --  
                                        aten::unsqueeze         0.00%      10.000us         0.00%      11.000us       3.667us             3            --  
                                               aten::mm         0.00%      16.000us         0.00%      16.000us       8.000us             2            --  
                                         aten::squeeze_         0.00%       8.000us         0.00%      12.000us       6.000us             2            --  
